Source	Sample	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU18	OTU19	OTU20
Tsitsikamma pedunculata	TIC2015_205	28.00071917	0.1869831	0.053937433	8.525710176	13.77921611	0.715569939	0	5.005393743	13.49514563	0.053937433	0.007191658	0.266091334	1.718806185	0.046745775	0.021574973	0.017979144	0.409924488	0.003595829	4.063286588	0.053937433
Tsitsikamma pedunculata	TIC2015_206	32.36429619	0.092656938	0.312717165	12.67855764	10.20384526	0.49803104	0.011582117	3.076982472	1.497953826	0.042467763	0.019303529	0	4.991892518	0.007721411	0.061771292	0.011582117	0.065631998	0	2.273955679	3.354953285
Tsitsikamma pedunculata	TIC2015_217	48.44384303	0.009332276	0.083990481	18.70188045	3.410946759	0.041995241	0.023330689	0.732583641	0.102655032	0.205310065	0.004666138	0.004666138	5.268069619	0.013998414	0	0	0.41062013	0	3.070318697	0.891232327
Tsitsikamma pedunculata	TIC2015_218	41.07678794	0.084181246	0.13176195	21.45157748	7.213966767	0.058560867	0.018300271	0.505087475	0.501427421	0.355025254	0.040260596	5.248517678	1.771466218	0.036600542	0	0.054900813	0.003660054	0.003660054	3.886977527	0.025620379
Tsitsikamma pedunculata	TIC2015_219	32.62165059	0.008574491	0.0471597	5.076098607	1.680600214	0.261521972	0	2.979635584	0.72454448	0.184351554	0	0.025723473	18.02357985	0.008574491	0.0943194	0.004287245	0.368703108	0	2.911039657	0.351554126
Tsitsikamma pedunculata	TIC2017_018	58.64329777	0.016148654	0.017225231	10.70655743	1.290815722	0.088279307	0	0.828964225	0.380031651	0.665324534	0.006459461	0.004306308	1.167009377	0.025837846	0	0.626567765	0.162563114	0	3.970415666	0.873103879
Tsitsikamma pedunculata	TIC2017_019	50.09486983	0.019783283	0.032372645	15.52178409	5.108583247	0.145676903	0	0.870464458	0.786835124	0.471201834	0.005395441	0.00089924	5.31630772	0.029674925	0.00179848	0.163661706	0	0	4.454835664	0.026077964
Tsitsikamma pedunculata	TIC2017_020	44.43069987	0.01740979	0.032070665	14.35391354	12.5826965	0.260230542	0	1.056499349	0.629501347	0.595598072	0.005497828	0	2.092839995	0.022907618	0.001832609	0.212582697	0.000916305	0	4.128869097	0.278556637
Tsitsikamma pedunculata	TIC2017_022	38.91817669	0.018390015	0.008582007	19.93109874	4.902778118	0.274624231	0	1.863521565	0.730696614	0.727018611	0.008582007	0.001226001	3.691489101	0.011034009	0.001226001	0.289336243	0.002452002	0	6.9048378	0.628938528
Tsitsikamma pedunculata	TIC2021_034	32.32381317	0.017038315	0.070283049	11.14518774	7.171000788	1.654846336	0	4.591825868	0.06815326	0.019168104	0	0.002129789	6.321214832	0.004259579	0	0.025557472	0.038336209	0	1.567524972	17.76883266
Tsitsikamma pedunculata	TIC2022_019	22.73369525	0.012394338	0.096675838	13.61394115	25.01673236	1.0039414	0	6.873900002	5.10150963	0.002478868	0.002478868	0	6.112887633	0.002478868	0	0.002478868	0.012394338	0	4.03559654	0.002478868
Tsitsikamma pedunculata	TIC2022_059	29.05976513	0.014959982	0.673199192	12.57012492	2.30009724	1.178098586	0	5.40803351	11.665046	0.059839928	0	0	10.89834692	0.026179969	0.026179969	0.003739996	0.014959982	0	2.891016531	5.037773955
Cyclacanthia bellae	TIC2016_051	0.05899705	13.46396966	0.021070375	0	0	0.0674252	0	0.00842815	0.0337126	0.219131901	0.935524652	0.00842815	0	0.080067425	0.0168563	1.011378003	3.430257059	27.04171934	0	0
Cyclacanthia bellae	TIC2016_053	0.024518818	15.45094193	0.00408647	0.00408647	0	0.012259409	0	0.00408647	0.163458788	0.780515712	1.270892076	1.103346819	0	0.662008091	0.016345879	10.07723428	1.176903273	11.75677332	0.00408647	0
Cyclacanthia bellae	TIC2012_056	0.310685962	6.630692503	0.008175946	0.073583517	0.008175946	0.024527839	0.024527839	0.008175946	0.057231625	0.253454337	0.964761671	2.142097948	0	0.057231625	0.016351893	0.057231625	4.047093451	6.589812771	0.008175946	0.008175946
Latrunculia apicalis	ACE2016_045	0.321691176	0.080422794	0.011488971	0.057444853	0.022977941	0.022977941	42.42876838	0.011488971	0.011488971	0.005744485	0.005744485	0.011488971	0.005744485	0.011488971	0	0	0.005744485	0	0.005744485	0.005744485
Latrunculia apicalis	ACE2016_060	0.176842478	0.053052743	0.004421062	0.026526372	0.013263186	0.044210619	81.65259295	0.017684248	0.004421062	0.008842124	0	0	0.008842124	0.030947434	0	0	0	0	0	0
Latrunculia apicalis	ACE2016_080	0.161796897	0.023793661	0.004758732	0.04282859	0.014276197	0.04282859	61.92538308	0.014276197	0	0.023793661	0	0.004758732	0.009517465	0.076139716	0	0	0.004758732	0	0.004758732	0
